iter	Passed	Remaining
0	140	140240
1	147	73604
2	150	50142
3	154	38464
4	158	31624
5	165	27492
6	170	24142
7	172	21396
8	178	19673
9	181	17953
10	183	16496
11	185	15308
12	188	14288
13	190	13398
14	192	12623
15	195	11997
16	196	11379
17	198	10837
18	200	10351
19	202	9937
20	204	9549
21	207	9208
22	209	8884
23	211	8599
24	213	8326
25	216	8100
26	218	7883
27	221	7682
28	223	7480
29	225	7300
30	228	7128
31	229	6957
32	232	6806
33	234	6660
34	236	6521
35	239	6402
36	241	6287
37	244	6191
38	247	6088
39	249	5983
40	251	5886
41	254	5794
42	256	5706
43	259	5627
44	261	5548
45	263	5466
46	265	5392
47	268	5322
48	270	5243
49	273	5189
50	275	5132
51	278	5068
52	280	5012
53	283	4962
54	286	4921
55	288	4865
56	291	4815
57	294	4776
58	296	4732
59	299	4692
60	302	4653
61	304	4613
62	307	4572
63	309	4528
64	311	4487
65	314	4451
66	316	4408
67	317	4355
68	320	4319
69	322	4284
70	324	4251
71	327	4215
72	330	4194
73	332	4166
74	335	4138
75	338	4115
76	341	4088
77	343	4060
78	347	4047
79	349	4021
80	351	3992
81	354	3967
82	357	3945
83	359	3921
84	361	3887
85	363	3868
86	365	3836
87	368	3814
88	370	3793
89	373	3777
90	376	3765
91	380	3754
92	384	3746
93	387	3733
94	390	3717
95	393	3703
96	395	3685
97	398	3669
98	401	3653
99	404	3636
100	406	3622
101	408	3594
102	410	3578
103	413	3562
104	415	3544
105	419	3535
106	421	3517
107	423	3501
108	425	3479
109	428	3463
110	431	3453
111	433	3434
112	436	3422
113	438	3408
114	440	3392
115	442	3374
116	446	3366
117	448	3355
118	451	3339
119	453	3328
120	455	3311
121	458	3300
122	460	3281
123	463	3270
124	465	3260
125	468	3250
126	471	3239
127	472	3222
128	475	3211
129	478	3203
130	481	3195
131	485	3190
132	488	3181
133	490	3171
134	493	3161
135	496	3153
136	500	3151
137	504	3149
138	507	3140
139	510	3133
140	514	3134
141	517	3125
142	520	3122
143	524	3116
144	528	3114
145	532	3117
146	536	3112
147	539	3104
148	542	3098
149	546	3094
150	549	3087
151	552	3081
152	554	3071
153	558	3066
154	562	3064
155	565	3056
156	568	3051
157	572	3051
158	577	3054
159	580	3049
160	584	3045
